0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0	2	1	4	0	0	1	0	1	1	1	0	1	0	0	2	0	1	0	0	0	0	0	1	1	1	1	0	0	2	2	0	2	0	0	0	1	1	3	4	0	1	1	2	2	2	0	0	0	0	3	3	5	2	6	2	2	1	2	4	4	4	4	2	5	5	9	8	5	3	3	4	8	11	18	15	6	8	4	11	10	13	6	10	9	9	7	12	10	11	11	2	8	10	11	9	7	4	8	10	10	9	13	3	10	6	5	5	5	5	6	5	2	5	3	6	2	4	4	2	8	8	6	10	4	3	5	6	4	3	6	5	7	2	5	11	5	6	9	2	6	8	6	3	7	5	0
0	0	0	0	1	0	0	0	4	6	3	0	1	3	2	0	3	0	1	3	1	0	2	2	0	0	0	1	1	3	1	0	1	0	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	4	0	0	3	2	5	4	2	1	2	0	3	2	3	2	1	3	2	3	2	7	0	7	7	38	5	4	5	3	1	2	9	8	4	4	6	4	8	7	7	9	20	9	7	10	10	9	16	16	13	16	21	27	28	30	20	18	15	21	25	30	26	26	20	24	30	38	19	26	28	31	15	45	30	28	19	17	16	4	22	24	22	44	5	10	13	32	23	20	19	19	17	5	9	25	21	18	13	18	8	18	17	19	10	10	7	4	19	11	16	14	14	8	9	13	18	20	7	19	11	9	14	15	19	8	15	8	9	18	18	11	7	10	1
0	1	0	0	0	0	0	0	0	1	2	0	1	0	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	4	0	1	0	0	0	1	2	0	0	3	1	1	2	7	1	2	1	4	2	1	2	6	8	3	0	4	5	5	1	4	0	4	4	3	7	2	6	8	8	1	4	2	10	18	6	5	5	6	9	13	6	9	13	16	8	11	19	8	12	16	10	11	23	16	18	18	12	12	10	25	20	32	22	21	17	25	30	19	23	22	19	12	20	14	19	29	12	15	6	21	31	12	25	8	15	16	18	18	20	16	11	9	4	9	11	13	14	4	9	1	16	15	13	12	9	5	1	8	12	11	17	19	7	4	18	9	14	14	10	14	2	9	10	6	14	12	9	2	9	12	8	9	6	1
0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	3	0	1	2	0	1	0	1	1	2	0	0	1	0	1	1	2	1	1	0	0	0	0	0	3	3	2	1	1	2	5	5	4	2	0	3	5	4	1	0	2	3	4	5	6	3	5	1	2	6	6	7	4	6	3	5	2	12	7	9	5	3	5	13	5	4	10	8	7	15	10	13	21	12	14	10	21	12	10	18	15	24	15	11	20	15	13	19	13	6	19	19	16	15	16	8	2	11	17	21	13	12	8	10	14	12	15	12	14	8	4	20	9	19	8	5	11	7	13	5	15	10	9	9	3	10	5	9	8	18	2	3	8	8	10	10	7	4	6	5	11	7	8	3	6	10	10	5	3	6	5	1
0	0	0	0	0	0	1	0	0	1	1	1	1	3	0	0	2	0	0	3	0	0	0	4	1	4	1	0	1	2	2	1	1	0	0	1	1	0	1	0	0	0	0	0	2	3	0	2	0	0	2	0	0	2	1	1	0	1	1	1	2	4	0	1	1	2	0	5	3	4	2	4	1	0	1	3	5	0	5	5	2	6	8	6	5	7	4	5	6	1	7	10	2	18	6	10	7	6	8	7	9	8	13	14	11	12	16	22	15	17	16	10	11	16	22	28	31	26	20	16	34	33	24	30	20	27	24	20	46	23	36	32	32	14	48	31	39	28	23	18	7	24	26	38	30	21	13	17	35	18	27	33	14	13	16	7	26	31	15	23	18	13	15	15	20	15	8	8	7	12	14	13	12	21	7	11	20	26	16	22	15	25	15	16	18	18	16	20	8	8	16	11	10	10	8	1
0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	2	1	1	1	3	1	3	2	0	1	4	0	2	2	1	4	1	0	1	3	0	2	1	1	4	2	2	7	2	0	5	1	0	1	1	0	4	1	0	1	6	0	0	3	0	3	6	3	9	5	10	1	1	1	7	0	4	6	5	2	1	6	0	2	4	6	4	2	8	7	7	8	3	4	5	16	8	11	8	9	6	7	8	3	14	16	12	21	10	12	21	27	20	26	15	6	28	29	33	29	23	18	27	28	32	24	34	23	26	20	27	52	43	40	36	19	17	50	43	34	41	46	30	18	33	35	32	35	17	19	18	51	28	26	27	30	19	20	20	32	21	26	35	21	7	20	12	24	17	12	8	5	20	16	16	23	19	8	10	26	18	24	15	13	24	5	19	23	17	34	27	17	14	10	19	14	23	14	2
0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	3	1	2	0	1	1	0	0	0	0	1	2	1	0	1	2	1	1	3	1	1	2	3	3	2	2	2	4	5	1	8	5	3	4	3	4	2	1	3	8	10	4	2	2	3	4	5	2	5	4	6	7	7	8	10	7	7	4	9	7	6	13	13	7	11	12	13	12	16	6	12	8	19	10	11	16	8	21	13	6	27	16	10	9	16	10	23	31	12	7	15	13	3	24	16	16	11	15	10	10	22	10	21	9	16	15	4	7	13	15	3	10	9	7	12	11	16	17	8	4	1	6	11	5	9	15	9	2	4	10	15	4	11	8	7	12	12	7	11	14	10	1	9	19	9	5	6	2
0	0	0	0	0	0	0	1	0	0	2	2	1	2	1	1	2	0	2	2	1	0	0	1	1	1	1	1	1	2	1	0	1	1	2	1	1	2	3	1	0	1	1	2	2	0	1	1	1	1	1	1	1	1	1	2	3	1	0	4	0	3	1	2	3	1	2	4	8	4	4	5	3	10	3	4	5	2	5	7	6	8	7	2	8	3	4	14	10	5	4	5	6	8	10	7	14	8	8	3	10	8	10	13	13	13	12	17	10	13	13	10	11	18	24	25	30	23	18	15	26	25	18	28	23	38	12	15	38	27	22	19	17	14	26	23	29	23	32	14	11	22	22	25	26	16	16	13	28	22	25	14	13	21	11	12	13	10	14	20	16	8	15	12	17	26	16	15	5	13	12	18	9	17	11	6	11	24	17	21	21	19	8	19	17	21	12	29	8	11	17	16	18	15	4	1
0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	2	1	0	1	4	0	1	2	1	1	2	3	0	0	0	2	5	3	1	7	2	2	2	2	4	3	6	5	1	3	3	5	1	1	1	1	5	2	2	2	3	0	0	4	2	3	3	3	1	2	8	2	2	2	2	5	0	8	7	4	5	8	5	7	6	6	6	8	10	5	10	7	18	10	8	13	5	13	21	14	19	11	16	7	13	16	17	12	18	13	5	14	14	12	16	16	3	9	9	17	15	15	10	8	13	14	9	11	8	5	13	7	6	9	16	9	15	7	3	5	11	13	6	3	4	1	5	9	10	6	25	3	8	6	13	11	8	6	9	5	5	9	8	11	14	8	4	7	10	7	5	7	1
0	0	0	0	0	0	0	0	0	3	0	1	2	2	0	1	3	1	1	3	0	1	2	1	3	1	1	0	0	2	2	0	3	0	1	0	0	2	1	2	2	1	0	3	2	1	5	3	2	2	3	2	2	2	4	3	5	7	8	7	9	5	5	5	12	22	7	5	11	13	8	3	3	8	16	11	8	3	9	7	7	16	8	4	8	5	9	14	24	9	4	4	3	6	11	13	13	8	6	10	8	19	19	19	18	15	9	17	15	14	15	12	15	17	24	22	30	33	17	12	29	32	25	32	18	33	28	16	52	50	41	32	22	10	32	29	23	18	27	14	31	34	39	30	31	18	21	22	31	30	24	36	22	13	6	9	19	25	9	21	18	3	22	17	26	14	12	7	2	17	10	13	12	19	14	7	17	17	20	15	21	24	15	19	26	15	23	25	9	4	24	11	22	11	9	1
